category,asin,description,ean,mpn,brand,upc,sold_items,url,sold,ebayID,price
,,,,,,Does not apply,30,http://www.ebay.com/itm/200Pcs-DIY-Bell-Baubles-Party-Xmas-Tree-Decorations-Hanging-Ornament-Home-Decor/361832917316?hash=item543eec2944%3Ag%3AGZAAAOSwImRYMlc%7E,52 ,200,not_set
,,,,,,,,http://www.ebay.com/itm/Christmas-Gift-LED-Snowman-Light-Home-Ornaments-Xmas-Tree-Hanging-Decoration/391560368963?hash=item5b2ad11343%3Am%3Am9Tag4nHdVSQcykK0LQhkWA&var=,2095 ,391560368963,C $1.99
,,,Does not apply,,,,,http://www.ebay.com/itm/12PCS-4CM-Christmas-Snowball-Balls-Xmas-Tree-Hanging-Decoration-Party-Ornaments/311446677518?hash=item4883ab280e%3Ag%3ADNwAAOSwiLdV-iIo,394 ,12,C $0.99
,,,,,,,,http://www.ebay.com/itm/Christmas-Santa-Snowman-Elf-Wine-Bottle-Cover-Table-Party-Decor-Xmas-Ornaments/182284311811?hash=item2a70fddd03%3Am%3AmsLvU1o2ci3_l38-qoyQcsQ&var=,213 ,182284311811,2.99
,,,Does not apply,,,,,http://www.ebay.com/itm/12Pcs-Multi-Color-Christmas-Gift-Box-Party-Ornaments-Xmas-Tree-Hanging-Decor/231721165528?hash=item35f3a862d8%3Ag%3AsS0AAOSw9mFWH0aV,7 ,12,C $0.99
,,,,,,,8,http://www.ebay.com/itm/LED-Christmas-Tree-Wedding-Xmas-Party-Decor-Outdoor-Fairy-String-Light-Lamp/142464450560?hash=item212b8b0000%3Ag%3AZTcAAOSw8gVX6eSA,54 ,142464450560,0.99
,,,1096467103544,,,,,http://www.ebay.com/itm/Xmas-Tree-Hanging-Ornament-Decoration-Garland-Ribbon-String-for-Christmas-Party/311447461158?hash=item4883b71d26%3Ag%3A0ikAAOSwuTxV-69q,1818 ,311447461158,0.99
,,,,,Unbranded,,,http://www.ebay.com/itm/Christmas-Tree-Snowflake-Ornament-Wall-Door-Hanging-Decor-Home-Xmas-Party-Decor/132300320473?hash=item1ecdb6aed9%3Am%3Am8QQzo2hQN-cIgPlJhCihyw&var=,68 ,132300320473,0.99
,,,,,,Does not apply,,http://www.ebay.com/itm/12-Xmas-Tree-Candy-Cane-Hanging-Ornament-Decoration-Christmas-Home-Party-Decor/192001310984?hash=item2cb42b8108%3Am%3AmyRVZ5vBuig-TK49L3qLFyQ&var=,214 ,12,C $0.99
,,,,,,,,http://www.ebay.com/itm/Christmas-Tree-Star-Topper-Ornament-Party-Decoration-Xmas-New-Decorations-StarsB/282248222139?hash=item41b74e15bb%3Am%3AmiFy5TDb1U42iH6i6ohnLXg&var=,128 ,282248222139,1.66
