category,asin,description,ean,mpn,brand,upc,sold_items,url,sold,ebayID,price
,,,,,,,,http://www.ebay.com/itm/US-Ship-LED-Paper-Pumpkin-Bat-Spider-Hanging-Light-Lamp-Halloween-Party-Decor-/232079601916?hash=item360905b0fc:g:lBcAAOSwknJX1iPo,309 ,232079601916,1.99
,,,,,,887600062450,"[{'date': '2017-08-30 13:43:03',
 'ebayID': '141351712338',
 'price': 6.99,
 'quantity': u'1'}]",http://www.ebay.com/itm/HALLOWEEN-Party-Haunted-House-Decoration-Prop-Spooky-Fabric-HANGING-BATS-/141351712338?epid=691229975&hash=item20e937f652:g:QioAAOSwI~VTyaRg,297 ,141351712338,6.99
,,,,,,,,http://www.ebay.com/itm/2pc-SET-Human-Anatomy-Bones-SKELETON-ARMS-Zombie-Pirate-Prop-Building-Decoration-/281581501445?hash=item418f90bc05:g:KCYAAOSwWKtUypyG,273 ,2,not_set
,,,,,,721773690006,,http://www.ebay.com/itm/Life-Size-BRAIN-DESSERT-JELLO-GELATIN-MOLD-Zombie-Food-Halloween-Horror-Prop-2pc-/281429285605?epid=1803476373&hash=item41867e1ae5:g:CO4AAOSwUuFWxAT6,267 ,281429285605,not_set
,,,,,,886102868263,"[{'date': '2017-08-27 17:11:10',
 'ebayID': '141391121342',
 'price': 9.49,
 'quantity': u'1'}, {'date': '2017-08-18 22:35:57',
 'ebayID': '141391121342',
 'price': 9.49,
 'quantity': u'2'}, {'date': '2017-08-03 15:48:41',
 'ebayID': '141391121342',
 'price': 9.49,
 'quantity': u'1'}]",http://www.ebay.com/itm/HALLOWEEN-Party-Decoration-Prop-ZOMBIE-Walking-Dead-Window-BACKDROP-Mural-Banner-/141391121342?hash=item20eb914bbe:g:9HQAAOSwa~hZaCJb,236 ,141391121342,9.49
,,,,,,034689000112,"[{'date': '2017-09-12 14:47:52', 'ebayID': '1', 'price': 4.99, 'quantity': u'1'}, {'date': '2017-09-05 14:41:51', 'ebayID': '1', 'price': 4.99, 'quantity': u'1'}, {'date': '2017-07-31 13:44:21', 'ebayID': '1', 'price': 4.99, 'quantity': u'1'}, {'date': '2017-07-02 14:15:04', 'ebayID': '1', 'price': 4.99, 'quantity': u'1'}]",http://www.ebay.com/itm/1-HALLOWEEN-Party-Decoration-Prop-SPOOKY-HALLOWEEN-DO-NOT-ENTER-Wall-DOOR-COVER-/130934904972?epid=0&hash=item1e7c54188c:g:S5EAAMXQDK1Rx2VW,211 ,1,4.99
,,,,,,034689154167,"[{'date': '2017-08-13 10:03:05',
 'ebayID': '130992888053',
 'price': 4.75,
 'quantity': u'1'}, {'date': '2017-08-11 13:43:24',
 'ebayID': '130992888053',
 'price': 4.75,
 'quantity': u'1'}, {'date': '2017-06-15 14:15:44',
 'ebayID': '130992888053',
 'price': 4.75,
 'quantity': u'1'}, {'date': '2017-06-15 06:41:49',
 'ebayID': '130992888053',
 'price': 4.75,
 'quantity': u'1'}, {'date': '2017-05-30 11:22:48',
 'ebayID': '130992888053',
 'price': 4.75,
 'quantity': u'1'}]",http://www.ebay.com/itm/HALLOWEEN-Party-Decoration-Prop-SPOOKY-CASTLE-Dungeon-ENTRANCE-Wall-DOOR-COVER-/130992888053?epid=1500719191&hash=item1e7fc8d8f5:g:FMYAAOxy6MBSNeNJ,209 ,130992888053,4.75
,,,,,,034689000143,"[{'date': '2017-08-22 14:16:30',
 'ebayID': '161407488364',
 'price': 4.75,
 'quantity': u'1'}, {'date': '2017-08-19 07:48:52',
 'ebayID': '161407488364',
 'price': 4.75,
 'quantity': u'1'}, {'date': '2017-08-16 09:47:57',
 'ebayID': '161407488364',
 'price': 4.75,
 'quantity': u'1'}, {'date': '2017-08-12 15:53:43',
 'ebayID': '161407488364',
 'price': 4.75,
 'quantity': u'1'}, {'date': '2017-08-11 20:32:03',
 'ebayID': '161407488364',
 'price': 4.75,
 'quantity': u'1'}, {'date': '2017-06-21 10:17:34',
 'ebayID': '161407488364',
 'price': 4.75,
 'quantity': u'1'}]",http://www.ebay.com/itm/HALLOWEEN-Haunted-House-Party-Prop-SKELETON-BATHROOM-Restroom-Wall-DOOR-COVER-/161407488364?epid=691294028&hash=item2594a2d16c:g:IJUAAOSwPe1T~-Fc,201 ,161407488364,4.75
,,,,,,886102868393,"[{'date': '2017-05-27 17:09:21',
 'ebayID': '141382343744',
 'price': 3.49,
 'quantity': u'1'}]",http://www.ebay.com/itm/HALLOWEEN-Haunted-House-Party-Prop-Decoration-Paper-BLOODY-WEAPON-GARLAND-7-ft-/141382343744?epid=1235349461&hash=item20eb0b5c40:g:4ZQAAOSwbqpT9Vzc,199 ,141382343744,3.49
,,,,,,034689170587,"[{'date': '2017-09-03 07:47:43', 'ebayID': '1', 'price': 4.99, 'quantity': u'1'}, {'date': '2017-08-26 18:57:19', 'ebayID': '1', 'price': 4.99, 'quantity': u'1'}]",http://www.ebay.com/itm/1-HALLOWEEN-Party-Prop-WITCH-BATHROOM-Restroom-Wall-DOOR-COVER-/130950530997?hash=item1e7d4287b5:g:5WIAAOxyFbpR6EAQ,194 ,1,4.99
