category,asin,description,ean,mpn,brand,upc,sold_items,url,sold,ebayID,price
,,,,,,400001549438,1,http://www.ebay.com/itm/NEW-Day-of-the-Dead-Wreath-Halloween-Decor/272402552536?hash=item3f6c7516d8%3Ag%3A7a4AAOSwPCVX9UhH,39 ,272402552536,19.95
,,,,,,Does not apply,4,http://www.ebay.com/itm/BLOODY-HALLOWEEN-LIGHT-UP-HAND-HAUNTED-HOUSE-FLICKERING-FINGERNAILS-PROP/192162764295?hash=item2cbdcb1607%3Ag%3AiOUAAOSwENxXnQ-o,42 ,192162764295,8.49
,,,,,,,37,http://www.ebay.com/itm/Skeleton-Restroom-Door-Cover-Halloween-Prop-Accessory-Decoration-Indoor-Outdoor/322693400964?hash=item4b22068984%3Ag%3Ab88AAOSwUkdZpbQ7,3 ,322693400964,7.76
,,,,,,Does not apply,,http://www.ebay.com/itm/Halloween-Deco-Mesh-BOO-Wreath-Ghost-Spider-Jack-O-Lantern-Pumpkin-Door-Decor/142088274441?hash=item21151f0209%3Ag%3AByAAAOSw7EJZg61c,45 ,142088274441,39.99
,,,,,,887600232860,0,http://www.ebay.com/itm/6-pc-Set-HALLOWEEN-Decor-Prop-Spooky-Sheer-Fabric-HANGING-GHOSTS-NEW/141893985472?hash=item21098a64c0%3Ag%3AkywAAMXQwwlSBBVQ,46 ,6,6.99
,,,,,,0792713132542,18,http://www.ebay.com/itm/Halloween-Witches-Hats-SET-OF-3-Hanging-String-Light-Yard-Outdoor-Decoration/263127316269?hash=item3d439c372d%3Ag%3AcooAAOSwr7tZhjfi,47 ,263127316269,19.89
,,,,,,,,http://www.ebay.com/itm/Pumpkin-Strobe-Light-Effect-3-Fast-Flashing-LEDs-Jack-O-Lantern-Halloween/281392245801?hash=item418448ec29%3Am%3AmpUeOZbOhP8xCxaBrulNIUg&var=,47 ,281392245801,6.25
,,,,,,,45,http://www.ebay.com/itm/2-GREY-SKELETON-BIRD-HALLOWEEN-PROP-SPOOKY-Posable-Home-Decor-FREE-SHIPPING/182755431897?epid=2196262668&hash=item2a8d1295d9%3Ag%3AhtoAAOSwhURZgYL6,10 ,2,9.99
,,,,,,Does not apply,,http://www.ebay.com/itm/90-BIG-GIANT-Huge-Hairy-Spider-Haunted-Mansion-Decoration-Halloween-Decor/231595539848?hash=item35ec2b7d88%3Am%3AmZkFz1lXzNXu1zlMPRIR0fA&var=,34 ,90,19.54
,,,,,,,,http://www.ebay.com/itm/NEW-6-5-Acrylic-Cat-Pumpkin-or-Ghost-Halloween-Night-Light-2303400/302080891225?hash=item46556c9959%3Am%3Amgysswz1F6pDBqKUVOxzlDQ&var=,17 ,302080891225,9.99
,,,,,,886102287095,0,http://www.ebay.com/itm/HALLOWEEN-Haunted-House-Party-Decoration-Prop-Dangling-SPIDER-CEILING-COVER/131850361485?epid=596075769&hash=item1eb2e4da8d%3Ag%3AazYAAOSwQItT3Blv,53 ,131850361485,6.69
,,,,,,6116620266154,,http://www.ebay.com/itm/30-Full-Body-Halloween-Skeleton-with-Movable-Joints-for-Halloween-Decoration/272796719693?epid=1486638360&hash=item3f83f39a4d%3Ag%3AjOkAAOSwi2lZig%7E%7E,56 ,30,15.99
,,,,,,034689001300,0,http://www.ebay.com/itm/New-Halloween-Jointed-Skeleton-Party-Haunted-House-Decoration-6-Feet-Tall-Props/222187544455?epid=665888832&hash=item33bb68df87%3Ag%3AlVMAAOSwnbZYC4T0,56 ,222187544455,12.19
,,,,,,887600038875,0,http://www.ebay.com/itm/3-pc-Set-HALLOWEEN-Party-Haunted-House-Decoration-Prop-Realistic-HAIRY-RATS/141713111164?hash=item20fec2787c%3Ag%3AtU4AAOxyyjpRuitq,56 ,3,15.99
,,,,,,721773352324,9,http://www.ebay.com/itm/Stay-Puft-Marshmallow-Man-Inflatable-Halloween-Yard-Decoration-Airblown-Outdoor/361533396086?hash=item542d11d476%3Ag%3A4x8AAOSwIcdZcQ3i,58 ,361533396086,107.19
,,,,,,889070140867,1,http://www.ebay.com/itm/HALLOWEEN-Party-Decoration-Prop-HAUNTED-STAIRWELL-Backdrop-Photo-Banner-3pc-set/131558566772?hash=item1ea1806b74%3Ag%3AD%7EoAAOSw%7EgRVqDsc,58 ,131558566772,19.95
,,,,,,Does not apply,2,http://www.ebay.com/itm/6-BIG-Black-Widow-Plastic-Rubber-Spider-Haunted-House-Halloween-Decoration/282032691129?epid=1192868470&hash=item41aa7557b9%3Ag%3AUmsAAOSw-CpX9ZQz,60 ,6,5.91
,,,,,,889070140874,3,http://www.ebay.com/itm/HALLOWEEN-Party-Decoration-Prop-HAUNTED-CEMETERY-Backdrop-Photo-Mural-Banner/131569387958?hash=item1ea22589b6%3Ag%3Az0oAAOSwT6pVvY9q,68 ,131569387958,19.99
,,,,,,886102084922,1,http://www.ebay.com/itm/HALLOWEEN-Decoration-Prop-CLAWING-ZOMBIE-GROUND-BREAKER-LED-Eyes-Sound/162121346165?hash=item25bf2f6c75%3Ag%3ARaoAAOSwiLdV-Oio,68 ,162121346165,39.95
,,,,,,,,http://www.ebay.com/itm/New-Halloween-Hanging-Ghost-Decoration-36-tall-Prop-Scary-Decor-creepy-haunted/263209676859?hash=item3d4884f03b%3Ag%3A7nYAAOSw1KNZu13N,3 ,263209676859,6.99
,,,,,,034689015161,1,http://www.ebay.com/itm/4-HALLOWEEN-Haunted-House-Party-Decoration-Graveyard-TOMBSTONE-PAPER-Cutouts-15/141406986437?epid=0&hash=item20ec8360c5%3Ag%3Ao6sAAOSw-jhUFdG8,72 ,4,5.49
,,,,,,Does not apply,,http://www.ebay.com/itm/HALLOWEEN-LIGHT-UP-DOUBLE-SIDED-FRAME-FLYING-WITCH-SCULPTURE-WINDOW-DECORATION/172304136453?hash=item281e207905%3Ag%3A%7E5kAAOSw6n5Xro2-,73 ,172304136453,6.99
,,,,,,734573100774,0,http://www.ebay.com/itm/Doily-6-Round-Set-Of-4-Spider-Web-Heritage-Lace-Halloween-Black/361070004089?epid=1001521709&hash=item5411730779%3Ag%3Ax6IAAOSwDk5T94TS,73 ,361070004089,7.90
,,,,,,Does not apply,5,http://www.ebay.com/itm/6-Black-Widow-Spider-Fake-Halloween-Big-Large-Web-Decor-Prop-Plastic-Rubber-NEW/301980687749?hash=item464f739d85%3Ag%3ALQkAAOSwxCxT4-8D,76 ,6,7.99
,,,,,,0742834460321,21,http://www.ebay.com/itm/Halloween-Hanging-Witch-Prop-Talking-Animated-6ft-Scary-Decoration-Spooky-Decor/252980408056?epid=1580775584&hash=item3ae6ceaef8%3Ag%3AlwAAAOSwh7tZuOEd,97 ,252980408056,56.95
category,asin,description,ean,mpn,brand,upc,sold_items,url,sold,ebayID,price
